model,group,player_id,playername,teamname,estimate,posterior_sd,hdi_prob,hdi_lower,hdi_upper,p_gt_zero,p_lt_zero,r_hat,ess_bulk,ess_tail,tempo_ratio,tempo_ratio_hdi_lower,tempo_ratio_hdi_upper,tempo_pct_difference,tempo_pct_difference_lower,tempo_pct_difference_upper,expected_tempo_pct_change,rank
mu,player,1931,Ethan Ampadu,Wales,0.014022551137881823,0.03657301943874628,0.95,-0.05796603832221738,0.08671305199952907,0.6515,0.3485,0.9999719004230921,8839.65881389877,3054.256776378819,1.0141213282705295,0.94368199591646,1.0905836940047722,1.4121328270529476,-5.631800408354004,9.058369400477218,1.4121328270529476,194
mu,player,7584,Rodrigo Bentancur,Uruguay,0.013960730048693274,0.03487590975490446,0.95,-0.053298477885599445,0.08305226220038013,0.65975,0.34025,1.0006257620113799,9139.923588120868,3006.1294234033476,1.0140586361233148,0.9480969842623612,1.0865985950978398,1.4058636123314816,-5.190301573763878,8.659859509783985,1.4058636123314816,195
mu,player,4868,David Raum,Germany,0.01395610276615453,0.03632529361633346,0.95,-0.05688664162698515,0.08530575252147392,0.6515,0.3485,1.0014686672165098,10198.243028226354,3276.002062523421,1.014053943798351,0.9447011530826894,1.0890499955810424,1.4053943798350899,-5.529884691731057,8.904999558104244,1.4053943798350899,196
mu,player,8050,Alex Sandro,Brazil,0.013873435893779542,0.03715044953153259,0.95,-0.057160285323453915,0.08518514718312054,0.6395,0.3605,1.0017371321634585,8651.16596191545,3131.6933108770963,1.013970118595229,0.9444426769338989,1.088918658257992,1.3970118595229009,-5.555732306610106,8.891865825799194,1.3970118595229009,197
mu,player,4851,Krzysztof Piatek,Poland,0.013870180532382108,0.05444220220009623,0.95,-0.09295322762478231,0.12247893375900162,0.60575,0.39425,1.005733643903895,8466.894631441539,3015.5260990896254,1.0139668177614194,0.9112361199771364,1.1302953087498309,1.3966817761419392,-8.876388002286362,13.029530874983086,1.3966817761419392,198
mu,player,7988,Boulaye Dia,Senegal,0.0135987246525927,0.047512669080092204,0.95,-0.07862003582168665,0.10833579455071725,0.6075,0.3925,1.0000929732963837,7772.268544961244,2270.5596485432616,1.0136916078621894,0.9243910932272612,1.114421899364525,1.369160786218937,-7.560890677273879,11.442189936452497,1.369160786218937,199
mu,player,100,Mateo Kovacic,Croatia,0.013495466254714272,0.023448880922737593,0.95,-0.032724599557440955,0.06072545878272868,0.71925,0.28075,1.0001596774398849,7153.273715068734,3046.7075475880174,1.013586941094773,0.9678050568315807,1.0626071446786687,1.3586941094773097,-3.219494316841931,6.260714467866868,1.3586941094773097,200
mu,player,2042,Kamil Grosicki,Poland,0.01306978667626696,0.05491727559400565,0.95,-0.09379429520500701,0.12130505811208485,0.593,0.407,1.000108045044906,9789.898902918056,2744.1786547608203,1.0131555696524888,0.9104700310301429,1.1289692610728752,1.3155569652488763,-8.95299689698571,12.89692610728752,1.3155569652488763,201
mu,player,1339,Tyler Adams,United States,0.01293504349075631,0.02744158648139024,0.95,-0.039892334401829356,0.06538016409981419,0.67875,0.32125,1.0034409487414253,6922.59008915819,2747.3276954446724,1.0130190630404905,0.9608928886908839,1.067564797059271,1.3019063040490497,-3.910711130911615,6.756479705927099,1.3019063040490497,202
mu,player,13787,Youstin Salas,Costa Rica,0.012821600235439252,0.05282047427097323,0.95,-0.09162046339431354,0.11459722818444247,0.596,0.404,1.000121619647912,9630.285354125677,2931.696951550133,1.012904149378494,0.912451392539367,1.121421669556481,1.2904149378494045,-8.754860746063297,12.142166955648094,1.2904149378494045,203
mu,player,8402,Nicolas Ngamaleu,Cameroon,0.012498403544332575,0.04981825615107606,0.95,-0.0841647814412644,0.11181115199905187,0.59875,0.40125,1.0008439323383196,7857.574237755733,2736.9692094586617,1.012576835005317,0.9192797633695394,1.1183016516711015,1.2576835005317033,-8.072023663046057,11.830165167110152,1.2576835005317033,204
mu,player,12820,Jakub Kiwior,Poland,0.01247020620285202,0.0337308229842774,0.95,-0.053667528674420054,0.07749166852386438,0.6445,0.3555,1.001046525159098,8158.638383340733,3124.3967726526425,1.0125482834330661,0.9477471528791853,1.080573229650981,1.2548283433066132,-5.225284712081468,8.057322965098091,1.2548283433066132,205
mu,player,1696,Marco Asensio,Spain,0.012130560574659728,0.03933126858865798,0.95,-0.06257683801212273,0.08795832374849746,0.62125,0.37875,1.002992959689841,7580.217408061283,2683.9581128230357,1.0122044342320091,0.9393408829542811,1.0919426130049155,1.220443423200912,-6.065911704571891,9.194261300491547,1.220443423200912,206
mu,player,4616,Joshua Kimmich,Germany,0.012106094055138262,0.03102035143209077,0.95,-0.04976985598411296,0.07384015340937654,0.6515,0.3485,1.0015544559687342,7686.858040412028,2817.666466611541,1.0121796694154148,0.9514483694539675,1.0766346953555772,1.2179669415414818,-4.855163054603251,7.663469535557721,1.2179669415414818,207
mu,player,4915,Hee-chan Hwang,South Korea,0.012089165947202194,0.04308105388323853,0.95,-0.07270300651598272,0.09505907809324922,0.603,0.397,1.0023752482662358,7841.701985697243,3076.9528183934217,1.0121625352737451,0.9298769564168873,1.0997238227935524,1.2162535273745112,-7.0123043583112725,9.97238227935524,1.2162535273745112,208
mu,player,4677,Jude Bellingham,England,0.012035884632924255,0.02757109797270853,0.95,-0.041892006473336865,0.0672697725537686,0.672,0.328,1.0004955634071846,8379.86553535745,2933.875135715318,1.0121086073602905,0.9589733378933588,1.0695839836601617,1.2108607360290513,-4.102666210664118,6.958398366016172,1.2108607360290513,209
mu,player,4002,Nayef Aguerd,Morocco,0.011989760484331131,0.03341819698636382,0.95,-0.054084700666274715,0.07803669672695597,0.64025,0.35975,1.0004538889528647,7351.069907763554,2755.0148374386754,1.0120619257890744,0.9473518617695666,1.08116233306105,1.206192578907439,-5.264813823043335,8.116233306105002,1.206192578907439,210
mu,player,13778,Daniel Chacon,Costa Rica,0.011898275152826201,0.05493596607476196,0.95,-0.09320252700431828,0.12183988137653506,0.58925,0.41075,1.00049698089653,7601.013493217686,2676.15286465013,1.0119693412034205,0.9110089776922071,1.1295732215902177,1.1969341203420525,-8.899102230779288,12.957322159021768,1.1969341203420525,211
mu,player,8927,Ao Tanaka,Japan,0.011896333424033123,0.045850990387065055,0.95,-0.07536603308785499,0.1019605183038428,0.597,0.403,0.9998061953245582,8452.480385021463,2982.719231087168,1.0119673762353205,0.9274039636575713,1.1073397512132588,1.1967376235320515,-7.259603634242873,10.733975121325878,1.1967376235320515,212
mu,player,4673,Thomas Delaney,Denmark,0.011880045028859804,0.04838442059354771,0.95,-0.08362389118521446,0.11118374963861274,0.602,0.398,1.0014680448795297,9078.033704826892,2908.622258731347,1.0119508930450367,0.919777127333665,1.1176002466297574,1.1950893045036715,-8.022287266633498,11.760024662975743,1.1950893045036715,213
mu,player,13371,Bryan Oviedo,Costa Rica,0.011413574188939455,0.04610897298905964,0.95,-0.07828573575068733,0.10111427828720362,0.59475,0.40525,1.0009003831258005,7264.366593542596,2832.1612104868614,1.0114789575426324,0.9247001688944886,1.1064030723872176,1.1478957542632395,-7.529983110551141,10.640307238721757,1.1478957542632395,214
mu,player,47,Jordan Henderson,England,0.011306451757621374,0.03601862596127937,0.95,-0.05964535136322798,0.08338199673241194,0.62,0.38,1.000996067725636,7133.437980780372,3085.8279032198325,1.0113706112607357,0.9420985883247724,1.086956943253735,1.1370611260735686,-5.790141167522755,8.695694325373493,1.1370611260735686,215
mu,player,20,Ilkay Gündogan,Germany,0.011299396255038549,0.031016037978224678,0.95,-0.049572560534935806,0.07291460211436575,0.64175,0.35825,0.9997900531085305,7848.755519540086,3228.2220666454787,1.0113634755579488,0.9516361044064048,1.0756386757237704,1.136347555794881,-4.836389559359522,7.5638675723770366,1.136347555794881,216
mu,player,4265,Gideon Mensah,Ghana,0.011180938228652711,0.049922308944196504,0.95,-0.08367587411184822,0.10950741976056125,0.58625,0.41375,1.0033064340288014,7550.237419733836,2723.307463146492,1.0112436785322751,0.9197293158694361,1.1157283493416394,1.1243678532275148,-8.027068413056393,11.572834934163945,1.1243678532275148,217
mu,player,13910,Kyung-won Kwon,South Korea,0.010985261223452884,0.046732843743778604,0.95,-0.08120780603800447,0.10379087013129051,0.592,0.408,1.0020501874549788,7254.341751932674,2423.7680443440695,1.0110458207564725,0.9220020739376433,1.10936842858079,1.1045820756472535,-7.799792606235667,10.936842858079011,1.1045820756472535,218
mu,player,13960,Hasan Al-Haydos,Qatar,0.010893213059152607,0.04070848494271385,0.95,-0.06806640120452147,0.09097243248346139,0.601,0.399,1.0047944300882294,7206.899883712723,3036.7992960464844,1.0109527601277442,0.9341984396160189,1.0952388118282295,1.0952760127744154,-6.58015603839811,9.523881182822947,1.0952760127744154,219
mu,player,13856,Josip Sutalo,Croatia,0.01087719644185551,0.04318465618643122,0.95,-0.0726361853953816,0.09611994359743732,0.594,0.406,1.001808275853304,8996.220974220745,3122.86886445952,1.01093656821395,0.9299390939131617,1.1008911009143594,1.0936568213949949,-7.006090608683834,10.089110091435938,1.0936568213949949,220
mu,player,13881,Ardon Jashari,Switzerland,0.010668397116475744,0.053503601928109906,0.95,-0.09562835208716614,0.11692816408649316,0.581,0.419,1.0010206009760272,9915.388363683063,2889.7281651492867,1.0107255073759522,0.908801707571447,1.1240386804447968,1.0725507375952237,-9.119829242855303,12.403868044479683,1.0725507375952237,221
