model,group,player_id,playername,teamname,estimate,posterior_sd,hdi_prob,hdi_lower,hdi_upper,p_gt_zero,p_lt_zero,r_hat,ess_bulk,ess_tail,group_sd_variable,group_sd_estimate,group_sd_posterior_sd,group_sd_hdi_lower,group_sd_hdi_upper,group_sd_r_hat,group_sd_ess_bulk,group_sd_ess_tail,shape_ratio,shape_ratio_hdi_lower,shape_ratio_hdi_upper,conditional_cv_ratio,conditional_cv_ratio_hdi_lower,conditional_cv_ratio_hdi_upper,conditional_cv_pct_difference,conditional_cv_pct_difference_lower,conditional_cv_pct_difference_upper,conditional_cv_pct_change,conditional_variance_ratio,conditional_variance_ratio_hdi_lower,conditional_variance_ratio_hdi_upper,conditional_variance_pct_difference,conditional_variance_pct_difference_lower,conditional_variance_pct_difference_upper,shape_rank,variability_rank
alpha,player,14000,Nawaf Al-Abed,Saudi Arabia,0.0842803583022899,0.1603073077991817,0.95,-0.2434527170690229,0.3908345636764669,0.70725,0.29275,1.0012457771896366,8612.24511955589,2679.7435936116467,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0879338623472492,0.7839165410276965,1.4782139429031727,0.9587353764411339,0.8224913757250648,1.1294449965062048,-4.1264623558866065,-17.75086242749352,12.944499650620479,-4.1264623558866065,0.9191735220397228,0.6764920631421096,1.2756460001329009,-8.08264779602772,-32.350793685789036,27.564600013290086,184,490
alpha,player,118,Harry Maguire,England,0.08369497411773268,0.0734263942862999,0.95,-0.06530793529829215,0.22812004630524177,0.8705,0.1295,1.0003368304680726,5907.200562615629,3289.3550316409915,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0872971894376937,0.9367789516523003,1.2562361228858883,0.9590160317752009,0.8922044013542171,1.0331929591891864,-4.098396822479911,-10.779559864578292,3.319295918918641,-4.098396822479911,0.9197117492018532,0.7960286937958369,1.067487690918108,-8.028825079814684,-20.397130620416316,6.748769091810791,185,489
alpha,player,1532,Ousmane Dembele,France,0.08283364170621627,0.08958553927319149,0.95,-0.09686596166233705,0.25539180446588644,0.8205,0.1795,1.0003074969038004,7858.407602225675,3461.725548633004,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0863610683410763,0.9076776615847358,1.290967328561799,0.9594291365196083,0.8801209812791226,1.0496250244663163,-4.057086348039174,-11.987901872087736,4.962502446631634,-4.057086348039174,0.9205042680027611,0.7746129416877258,1.1017126919859153,-7.949573199723892,-22.538705831227425,10.171269198591526,186,488
alpha,player,453,Alexis Mac Allister,Argentina,0.08251150360372753,0.08103650911855803,0.95,-0.07777434732884732,0.23988975976081106,0.846,0.154,1.0010500923377985,7835.11990923322,2621.9415396724694,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0860111664093013,0.9251731707880725,1.2711090152354092,0.9595836833063817,0.886969325225058,1.0396531767744241,-4.041631669361834,-11.3030674774942,3.965317677442415,-4.041631669361834,0.9208008452678422,0.7867145838901947,1.080878727977152,-7.919915473215777,-21.328541610980533,8.087872797715189,187,487
alpha,player,1860,Takefusa Kubo,Japan,0.08231861150480606,0.19736285614101717,0.95,-0.31393003426800986,0.4730399434067081,0.66975,0.33025,1.0002782405703328,8511.059158722679,2853.7639433610857,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0858017036384668,0.7305701412460242,1.6048654854908126,0.9596762358248543,0.7893701170787254,1.1699546848170501,-4.0323764175145715,-21.06298829212746,16.99546848170501,-4.0323764175145715,0.9209784776069613,0.6231051817368807,1.3687939645253633,-7.902152239303872,-37.68948182631193,36.87939645253633,188,486
alpha,player,100,Mateo Kovacic,Croatia,0.08077038307306603,0.0668099082312448,0.95,-0.05309200956308157,0.21161655045673278,0.89425,0.10575,1.0000699933956243,7607.179132083102,3302.6381410618546,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0841219352377955,0.9482927564659699,1.235673975602552,0.9604194224601955,0.8995971065929347,1.026901488553656,-3.9580577539804485,-10.040289340706533,2.690148855365604,-3.9580577539804485,0.9224054670387756,0.8092749541903799,1.0545266671937146,-7.759453296122443,-19.07250458096201,5.452666719371457,189,485
alpha,player,3870,Kylian Mbappé,France,0.080356728143585,0.08119637105921251,0.95,-0.07951761473279163,0.23365407402137015,0.832,0.168,1.0015313901560976,6809.160976772876,3073.3569507260963,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0836735755946074,0.9235617515318549,1.263207440348325,0.9606180841180659,0.8897390717849407,1.0405597685722472,-3.938191588193407,-11.026092821505928,4.055976857224719,-3.938191588193407,0.9227871035346635,0.791635615860728,1.0827646319711288,-7.721289646533647,-20.836438413927205,8.276463197112882,190,484
alpha,player,13956,Assim Madibo,Qatar,0.07864858229073607,0.13759416736521962,0.95,-0.1984653209033277,0.3449831232563408,0.72325,0.27675,1.0015081751565829,9411.790125567843,2792.9903632400433,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0818240831217605,0.8199882066976255,1.411966090076819,0.961438872473008,0.8415653902234926,1.1043232020071652,-3.8561127526992034,-15.843460977650736,10.432320200716516,-3.8561127526992034,0.9243647055021689,0.7082323060220195,1.2195297344913578,-7.563529449783113,-29.176769397798054,21.952973449135783,191,483
alpha,player,14018,Nader Ghandri,Tunisia,0.0785009670852714,0.17742013409665724,0.95,-0.2732201801894801,0.4148333181193582,0.6705,0.3295,1.0000387247081102,9323.481139839221,2924.392924275775,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.081664401223482,0.760925228522017,1.514118343564599,0.9615098365901723,0.8126809685469516,1.1463810760303192,-3.8490163409827693,-18.73190314530484,14.638107603031925,-3.8490163409827693,0.9245011658596599,0.6604503566384112,1.3141895714804328,-7.549883414034008,-33.95496433615888,31.41895714804328,192,482
alpha,player,6935,Joe Allen,Wales,0.07807835369280124,0.16417861501062972,0.95,-0.2514086423777603,0.39700617138963495,0.686,0.314,1.000166118629655,8837.724329425264,2714.0028660237244,alpha_1|player_id_sigma,0.2238064787730614,0.010269322064901915,0.20445686044223468,0.24414234882650174,1.0011205461412593,1457.2457413859695,2256.1813268167707,1.0812073719415165,0.7777045035986757,1.4873651091326006,0.9617130315246089,0.8199572405986933,1.1339468346579995,-3.8286968475391148,-18.004275940130665,13.39468346579995,-3.8286968475391148,0.9248919550042533,0.6723298764102235,1.2858354238308964,-7.510804499574675,-32.76701235897765,28.583542383089643,193,481
